🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-8,http://144.255.31.207:6688/udp/239.21.2.48:5002
CCTV-8,http://27.191.202.231:19999/rtp/239.254.201.155:7208
CCTV-8,http://114.100.195.238:4022/rtp/238.1.78.173:7256
CCTV-8,http://58.46.71.35:8188/udp/239.76.246.158:1234
CCTV-8,http://58.46.71.35:8188/udp/239.76.253.158:9000
CCTV-8,http://175.8.182.37:7878/udp/239.76.253.158:9000
CCTV-8,http://175.8.182.37:7878/udp/239.76.246.158:1234
CCTV-8,http://106.83.116.40:8188/rtp/235.254.198.57:1504
CCTV-8,http://106.118.20.104:8188/rtp/239.254.201.155:7208
CCTV-8,http://116.235.57.19:4022/rtp/239.45.1.71:5140
CCTV-8,http://115.171.80.250:1688/rtp/225.1.8.85:8000
CCTV-9,http://111.162.207.175:8686/rtp/225.1.1.119:5002
CCTV-9,http://171.113.210.161:4022/rtp/239.69.1.104:10262
CCTV-9,http://183.236.43.98:4013/udp/239.77.0.135:5146
CCTV-9,http://123.191.26.168:1111/rtp/232.0.0.137:1234
CCTV-9,http://121.29.141.118:4022/rtp/239.253.92.107:6020
CCTV-9,http://144.255.32.94:8288/udp/239.21.1.153:5002
CCTV-9,http://27.191.202.231:19999/rtp/239.254.200.59:8112
CCTV-9,http://121.235.95.126:8199/rtp/239.49.8.53:9814
CCTV-9,http://115.171.216.39:4000/rtp/225.1.8.9:8112
CCTV-9,http://175.8.182.37:7878/udp/239.76.246.159:1234
CCTV-9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV-9,http://106.83.116.40:8188/rtp/235.254.198.58:1508
CCTV-9,http://144.255.31.207:6688/udp/239.21.1.153:5002
CCTV-9,http://116.235.57.19:4022/rtp/239.45.3.4:5140
CCTV-9,http://58.46.71.35:8188/udp/239.76.253.159:9000
CCTV-9,http://58.46.71.35:8188/udp/239.76.246.159:1234
CCTV-9,http://175.8.182.37:7878/udp/239.76.253.159:9000
CCTV-9,http://115.171.80.250:1688/rtp/225.1.8.9:8112
CCTV-9,http://106.118.20.104:8188/rtp/239.254.200.59:8112
CCTV-9,http://222.82.203.33:8188/udp/238.125.5.26:5140
CCTV-10,http://yp.qqqtv.top/1/api.php?id=CCTV-10HD&auth=666858
CCTV-10,http://223.167.230.5:4022/rtp/239.45.3.8:5140
CCTV-10,http://111.162.207.175:8686/rtp/225.1.1.140:5002
CCTV-10,http://121.29.141.118:4022/rtp/239.253.92.196:6061
CCTV-10,http://171.113.210.161:4022/rtp/239.69.1.105:10268
CCTV-10,http://123.191.26.168:1111/rtp/232.0.0.138:1234
CCTV-10,http://175.8.182.37:7878/udp/239.76.246.160:1234
CCTV-10,http://27.191.202.231:19999/rtp/239.254.200.160:6000
CCTV-10,http://144.255.32.94:8288/udp/239.21.1.155:5002
CCTV-10,http://106.83.116.40:8188/rtp/235.254.198.59:1512
CCTV-10,http://58.46.71.35:8188/udp/239.76.253.160:9000
CCTV-10,http://58.46.71.35:8188/udp/239.76.246.160:1234
CCTV-10,http://121.235.95.126:8199/rtp/239.49.8.54:9818
CCTV-10,http://114.100.195.238:4022/rtp/238.1.78.241:7800
CCTV-10,http://115.171.80.250:1688/rtp/225.1.8.10:8116
CCTV-10,http://116.235.57.19:4022/rtp/239.45.3.8:5140
CCTV-10,http://175.8.182.37:7878/udp/239.76.253.160:9000
CCTV-10,http://113.119.27.173:58888/udp/239.77.0.134:5146
CCTV-10,http://106.118.20.104:8188/rtp/239.254.200.160:6000
CCTV-10,http://222.82.203.33:8188/udp/238.125.5.27:5140
CCTV-11,http://111.162.207.175:8686/rtp/225.1.2.192:5002
CCTV-11,http://121.29.141.118:4022/rtp/239.253.93.153:6321
CCTV-11,http://171.113.210.161:4022/rtp/239.69.1.154:10560
CCTV-11,http://58.46.71.35:8188/udp/239.76.252.251:9000
CCTV-11,http://58.46.71.35:8188/udp/239.76.245.251:1234
CCTV-11,http://175.8.182.37:7878/udp/239.76.245.251:1234
CCTV-11,http://115.171.80.250:1688/rtp/225.1.8.73:8120
CCTV-11,http://175.8.182.37:7878/udp/239.76.252.251:9000
CCTV-11,http://106.118.20.104:8188/rtp/239.254.201.123:8120
CCTV-11,http://106.83.116.40:8188/rtp/235.254.198.7:1304
CCTV-11,http://112.123.243.37:50085/tsfile/live/0012_1.m3u8
CCTV-11,http://106.59.2.119:55555/rtp/239.200.201.125:8480
CCTV-11,http://171.104.106.97:50112/udp/239.81.0.229:4056
CCTV-11,http://113.119.27.173:58888/udp/239.77.1.238:5146
CCTV-11,http://144.255.31.207:6688/udp/239.21.2.2:5002
CCTV-11,http://183.236.43.98:4013/udp/239.77.1.238:5146
CCTV-11,http://220.176.218.76:9000/udp/239.252.219.78:5140
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV-11
CCTV-11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV-11,http://lu.wqwqwq.sbs/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12,http://111.162.207.175:8686/rtp/225.1.1.142:5002
CCTV-12,http://121.29.141.118:4022/rtp/239.253.92.197:6062
CCTV-12,http://223.167.230.5:4022/rtp/239.45.3.10:5140
CCTV-12,http://27.191.202.231:19999/rtp/239.254.200.161:6000
CCTV-12,http://171.113.210.161:4022/rtp/239.69.1.106:10274
CCTV-12,http://121.235.95.126:8199/rtp/239.49.8.55:9822
CCTV-12,http://121.235.95.126:8199/rtp/239.49.8.135:6000
CCTV-12,http://106.83.116.40:8188/rtp/235.254.198.60:1516
CCTV-12,http://58.46.71.35:8188/udp/239.76.253.162:9000
CCTV-12,http://116.235.57.19:4022/rtp/239.45.3.10:5140
CCTV-12,http://114.100.195.238:4022/rtp/238.1.78.242:7808
CCTV-12,http://123.191.26.168:1111/rtp/232.0.0.139:1234
CCTV-12,http://175.8.182.37:7878/udp/239.76.253.162:9000
CCTV-12,http://106.118.20.104:8188/rtp/239.254.200.161:6000
CCTV-12,http://58.46.71.35:8188/udp/239.76.246.162:1234
CCTV-12,http://175.8.182.37:7878/udp/239.76.246.162:1234
CCTV-12,http://115.171.80.250:1688/rtp/225.1.8.12:8124
CCTV-12,http://222.82.203.33:8188/udp/238.125.5.28:5140
CCTV-12,http://106.59.2.119:55555/udp/239.200.200.108:8124
CCTV-12,http://113.119.27.173:58888/udp/239.77.0.136:5146
CCTV-13,http://yp.qqqtv.top/1/api.php?id=CCTV-13HD&auth=666858
CCTV-13,http://111.162.207.175:8686/rtp/225.1.2.193:5002
CCTV-13,http://121.29.141.118:4022/rtp/239.253.92.13:8008
CCTV-13,http://171.113.210.161:4022/rtp/239.254.96.161:9040
CCTV-13,http://27.191.202.231:19999/rtp/239.254.200.9:8264
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://123.191.26.168:1111/rtp/232.0.0.15:1234
CCTV-13,http://175.8.182.37:7878/udp/239.76.253.93:9000
CCTV-13,http://58.46.71.35:8188/udp/239.76.253.93:9000
CCTV-13,http://58.46.71.35:8188/udp/239.76.251.84:9000
CCTV-13,http://114.100.195.238:4022/rtp/238.1.79.35:4392
