🕘️更新时间,25/12/31-09:27:22

📺全部频道,#genre#
安徽卫视,http://114.107.44.80:8188/rtp/238.1.78.150:7072
安徽卫视,http://115.171.216.39:4000/udp/225.1.8.52:8064
北京卫视,http://yp.qqqtv.top/1/api.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86HD&auth=666858
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://223.198.242.180:4000/rtp/239.253.64.204:5140
北京卫视,http://114.241.251.105:4022/rtp/239.3.1.241:8000
北京卫视,http://114.254.37.254:18888/rtp/239.3.1.241:8000
北京卫视,http://111.221.137.234:44330/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://106.59.2.153:55555/rtp/239.200.200.5:8024
北京卫视,http://111.113.88.146:2000/rtp/239.121.4.117:8684
北京卫视,http://180.105.201.135:9981/rtp/239.49.8.141:6000
北京卫视,http://114.107.44.80:8188/rtp/238.1.78.162:7168
北京卫视,http://27.191.202.133:19999/rtp/239.254.200.47:8024
北京卫视,http://144.255.32.146:8288/udp/239.21.1.88:5002
北京卫视,http://144.255.31.40:6688/udp/239.21.1.88:5002
北京卫视,http://115.171.80.250:1688/rtp/225.1.8.21:8002
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
东方卫视,http://yp.qqqtv.top/1/api.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86HD&auth=666858
东方卫视,http://tvlist.top/jd/index.php?id=dfws&qt=183.224.122.114:8014
东方卫视,http://114.241.251.105:4022/rtp/239.3.1.136:8032
东方卫视,http://223.198.242.180:4000/rtp/239.253.64.201:5140
东方卫视,http://114.254.37.254:18888/rtp/239.3.1.136:8032
东方卫视,http://111.221.137.234:44330/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://144.255.32.146:8288/udp/239.21.1.111:5002
东方卫视,http://144.255.31.40:6688/udp/239.21.1.111:5002
东方卫视,http://111.113.88.146:2000/rtp/239.121.4.109:8636
东方卫视,http://114.100.195.41:4022/rtp/238.1.78.163:7176
东方卫视,http://115.171.80.250:1688/udp/225.1.8.45:8032
东方卫视,http://114.107.44.80:8188/rtp/238.1.78.163:7176
东方卫视,http://106.116.240.126:9999/rtp/239.254.200.52:8032
东方卫视,http://27.191.202.133:19999/rtp/239.254.200.52:8032
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://114.241.251.105:4022/rtp/239.3.1.156:8148
东南卫视,http://223.198.242.180:4000/rtp/239.253.64.66:5140
东南卫视,http://btjg.net:809/hls/44/index.m3u8
东南卫视,http://106.116.240.126:9999/rtp/239.254.201.13:6291
东南卫视,http://220.176.218.76:9000/udp/239.252.220.82:5140
东南卫视,http://144.255.31.40:6688/udp/239.21.1.113:5002
东南卫视,http://144.255.32.146:8288/udp/239.21.1.113:5002
东南卫视,http://27.191.202.133:19999/rtp/239.254.201.13:6291
东南卫视,http://115.171.80.250:1688/udp/225.1.8.79:8148
东南卫视,http://114.107.44.80:8188/rtp/238.1.78.22:6104
东南卫视,http://111.113.88.146:2000/rtp/239.121.4.102:9226
东南卫视,http://115.171.216.84:4000/udp/225.1.8.79:8148
东南卫视,http://183.236.43.98:4013/udp/239.77.1.104:5146
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
广东卫视,http://114.241.251.105:4022/rtp/239.3.1.142:8048
广东卫视,http://111.162.204.64:8686/rtp/225.1.1.116:5002
广东卫视,http://223.198.242.180:4000/rtp/239.253.64.200:5140
广东卫视,http://106.59.2.153:55555/udp/239.200.201.35:8768
广东卫视,http://180.105.201.135:9981/rtp/239.49.8.143:6000
广东卫视,http://220.176.218.76:9000/udp/239.252.219.213:5140
广东卫视,http://115.171.80.250:1688/udp/225.1.8.49:8048
广东卫视,http://27.191.202.133:19999/rtp/239.254.200.56:8048
广东卫视,http://144.255.32.146:8288/udp/239.21.1.92:5002
广东卫视,http://111.113.88.146:2000/rtp/239.121.4.118:8690
广东卫视,http://144.255.31.40:6688/udp/239.21.1.92:5002
广东卫视,http://106.116.240.126:9999/rtp/239.254.200.56:8048
广西卫视,http://yp.qqqtv.top/1/api.php?id=%E5%B9%BF%E8%A5%BF%E5%8D%AB%E8%A7%86HD&auth=666858
广西卫视,http://111.162.204.64:8686/rtp/225.1.2.81:5002
广西卫视,http://106.116.240.126:9999/rtp/239.254.200.80:8300
